"","samplename","platform","label","obervations","batch","bigfamily","family","celltype","coarsegrain","finegrain","treatment","In","In_opt","In_opt2","FINAL"
"SRR6298305","SRR6298305","Illumina HiSeq 2000","Switched memory B cells","healthy","SRP125125","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Train","Test","No","No"
"SRR6298306","SRR6298306","Illumina HiSeq 2000","Plasmablasts","healthy","SRP125125","Immune","B","Plasmablasts","B.cells","other","no","Train","Test","No","No"
"SRR6298331","SRR6298331","Illumina HiSeq 2000","Naive B cells","healthy","SRP125125","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","Train","Test","No","No"
"SRR6298332","SRR6298332","Illumina HiSeq 2000","Non-switched memory B cells","healthy","SRP125125","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Train","Test","No","No"
"SRR6298333","SRR6298333","Illumina HiSeq 2000","Exhausted B cells","healthy","SRP125125","Immune","B","B.cells","B.cells","other","no","Train","Test","No","No"
"SRR6298334","SRR6298334","Illumina HiSeq 2000","Switched memory B cells","healthy","SRP125125","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Train","Test","No","No"
"SRR6298335","SRR6298335","Illumina HiSeq 2000","Plasmablasts","healthy","SRP125125","Immune","B","Plasmablasts","B.cells","other","no","Train","Test","No","No"
"SRR6298365","SRR6298365","Illumina HiSeq 2000","Naive B cells","healthy","SRP125125","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","Train","Test","No","No"
"SRR6298366","SRR6298366","Illumina HiSeq 2000","Non-switched memory B cells","healthy","SRP125125","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Train","Test","No","No"
"SRR6298367","SRR6298367","Illumina HiSeq 2000","Exhausted B cells","healthy","SRP125125","Immune","B","B.cells","B.cells","other","no","Train","Test","No","No"
"SRR6298368","SRR6298368","Illumina HiSeq 2000","Switched memory B cells","healthy","SRP125125","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Train","Test","No","No"
"SRR6298369","SRR6298369","Illumina HiSeq 2000","Plasmablasts","healthy","SRP125125","Immune","B","Plasmablasts","B.cells","other","no","Train","Test","No","No"
"SRR6298265","SRR6298265","Illumina HiSeq 2000","Follicular helper T cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298266","SRR6298266","Illumina HiSeq 2000","T regulatory cells","healthy","SRP125125","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Train","Test","No","No"
"SRR6298267","SRR6298267","Illumina HiSeq 2000","Th1 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298268","SRR6298268","Illumina HiSeq 2000","Th1/Th17 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298269","SRR6298269","Illumina HiSeq 2000","Th17 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298270","SRR6298270","Illumina HiSeq 2000","Th2 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298271","SRR6298271","Illumina HiSeq 2000","Naive CD4 T cells","healthy","SRP125125","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","Test","No","No","No"
"SRR6298293","SRR6298293","Illumina HiSeq 2000","Follicular helper T cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298294","SRR6298294","Illumina HiSeq 2000","T regulatory cells","healthy","SRP125125","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Train","Test","No","No"
"SRR6298295","SRR6298295","Illumina HiSeq 2000","Th1 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298296","SRR6298296","Illumina HiSeq 2000","Th1/Th17 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298297","SRR6298297","Illumina HiSeq 2000","Th17 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298298","SRR6298298","Illumina HiSeq 2000","Th2 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298299","SRR6298299","Illumina HiSeq 2000","Naive CD4 T cells","healthy","SRP125125","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","Test","No","No","No"
"SRR6298300","SRR6298300","Illumina HiSeq 2000","Terminal effector CD4 T cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298322","SRR6298322","Illumina HiSeq 2000","Follicular helper T cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298323","SRR6298323","Illumina HiSeq 2000","T regulatory cells","healthy","SRP125125","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Train","Test","No","No"
"SRR6298324","SRR6298324","Illumina HiSeq 2000","Th1 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298325","SRR6298325","Illumina HiSeq 2000","Th1/Th17 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298326","SRR6298326","Illumina HiSeq 2000","Th17 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298327","SRR6298327","Illumina HiSeq 2000","Th2 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298328","SRR6298328","Illumina HiSeq 2000","Naive CD4 T cells","healthy","SRP125125","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","Test","No","No","No"
"SRR6298329","SRR6298329","Illumina HiSeq 2000","Terminal effector CD4 T cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298357","SRR6298357","Illumina HiSeq 2000","Follicular helper T cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298358","SRR6298358","Illumina HiSeq 2000","T regulatory cells","healthy","SRP125125","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","Train","Test","No","No"
"SRR6298359","SRR6298359","Illumina HiSeq 2000","Th1 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298360","SRR6298360","Illumina HiSeq 2000","Th1/Th17 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298361","SRR6298361","Illumina HiSeq 2000","Th17 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298362","SRR6298362","Illumina HiSeq 2000","Th2 cells","healthy","SRP125125","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6298363","SRR6298363","Illumina HiSeq 2000","Naive CD4 T cells","healthy","SRP125125","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","Test","No","No","No"
"SRR6298258","SRR6298258","Illumina HiSeq 2000","naive CD8","healthy","SRP125125","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","Train","Test","No","No"
"SRR6298259","SRR6298259","Illumina HiSeq 2000","memory CD8","healthy","SRP125125","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Train","Test","No","No"
"SRR6298260","SRR6298260","Illumina HiSeq 2000","memory CD8","healthy","SRP125125","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Train","Test","No","No"
"SRR6298261","SRR6298261","Illumina HiSeq 2000","Terminal effector CD8 T cells","healthy","SRP125125","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no","Train","Test","No","No"
"SRR6298286","SRR6298286","Illumina HiSeq 2000","Naive CD8 T cells","healthy","SRP125125","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","Train","Test","No","No"
"SRR6298287","SRR6298287","Illumina HiSeq 2000","Central memory CD8 T cell","healthy","SRP125125","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Train","Test","No","No"
"SRR6298288","SRR6298288","Illumina HiSeq 2000","Effector memory CD8 T cells","healthy","SRP125125","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Train","Test","No","No"
"SRR6298289","SRR6298289","Illumina HiSeq 2000","Terminal effector CD8 T cells","healthy","SRP125125","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no","Train","Test","No","No"
"SRR6298315","SRR6298315","Illumina HiSeq 2000","Naive CD8 T cells","healthy","SRP125125","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","Train","Test","No","No"
"SRR6298316","SRR6298316","Illumina HiSeq 2000","Central memory CD8 T cell","healthy","SRP125125","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Train","Test","No","No"
"SRR6298317","SRR6298317","Illumina HiSeq 2000","Effector memory CD8 T cells","healthy","SRP125125","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Train","Test","No","No"
"SRR6298318","SRR6298318","Illumina HiSeq 2000","Terminal effector CD8 T cells","healthy","SRP125125","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no","Train","Test","No","No"
"SRR6298344","SRR6298344","Illumina HiSeq 2000","Naive CD8 T cells","healthy","SRP125125","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","Train","Test","No","No"
"SRR6298345","SRR6298345","Illumina HiSeq 2000","Central memory CD8 T cell","healthy","SRP125125","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Train","Test","No","No"
"SRR6298346","SRR6298346","Illumina HiSeq 2000","Effector memory CD8 T cells","healthy","SRP125125","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","Train","Test","No","No"
"SRR6298353","SRR6298353","Illumina HiSeq 2000","Terminal effector CD8 T cells","healthy","SRP125125","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no","Train","Test","No","No"
"SRR6298278","SRR6298278","Illumina HiSeq 2000","Classical monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","Train","Test","No","No"
"SRR6298279","SRR6298279","Illumina HiSeq 2000","Intermediate monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","Train","Test","No","No"
"SRR6298280","SRR6298280","Illumina HiSeq 2000","Non classical monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR6298283","SRR6298283","Illumina HiSeq 2000","Myeloid dendritic cells","healthy","SRP125125","Immune","Myeloid","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","Train","Test","No","No"
"SRR6298307","SRR6298307","Illumina HiSeq 2000","Classical monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","Train","Test","No","No"
"SRR6298308","SRR6298308","Illumina HiSeq 2000","Intermediate monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","Train","Test","No","No"
"SRR6298309","SRR6298309","Illumina HiSeq 2000","Non classical monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR6298312","SRR6298312","Illumina HiSeq 2000","Myeloid dendritic cells","healthy","SRP125125","Immune","Myeloid","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","Train","Test","No","No"
"SRR6298336","SRR6298336","Illumina HiSeq 2000","Classical monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","Train","Test","No","No"
"SRR6298337","SRR6298337","Illumina HiSeq 2000","Intermediate monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","Train","Test","No","No"
"SRR6298338","SRR6298338","Illumina HiSeq 2000","Non classical monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR6298341","SRR6298341","Illumina HiSeq 2000","Myeloid dendritic cells","healthy","SRP125125","Immune","Myeloid","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","Train","Test","No","No"
"SRR6298370","SRR6298370","Illumina HiSeq 2000","Classical monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","Train","Test","No","No"
"SRR6298371","SRR6298371","Illumina HiSeq 2000","Intermediate monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","Train","Test","No","No"
"SRR6298372","SRR6298372","Illumina HiSeq 2000","Non classical monocytes","healthy","SRP125125","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR6298375","SRR6298375","Illumina HiSeq 2000","Myeloid dendritic cells","healthy","SRP125125","Immune","Myeloid","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","Train","Test","No","No"
"SRR6298284","SRR6298284","Illumina HiSeq 2000","Low-density neutrophils","healthy","SRP125125","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Test","Test","No","No"
"SRR6298313","SRR6298313","Illumina HiSeq 2000","Low-density neutrophils","healthy","SRP125125","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Test","Test","No","No"
"SRR6298342","SRR6298342","Illumina HiSeq 2000","Low-density neutrophils","healthy","SRP125125","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Test","Test","No","No"
"SRR6298376","SRR6298376","Illumina HiSeq 2000","Low-density neutrophils","healthy","SRP125125","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Test","Test","No","No"
"SRR6298281","SRR6298281","Illumina HiSeq 2000","Natural killer cells","healthy","SRP125125","Immune","NK","NK.cells","NK.cells","NK.cells","no","Train","Test","No","No"
"SRR6298310","SRR6298310","Illumina HiSeq 2000","Natural killer cells","healthy","SRP125125","Immune","NK","NK.cells","NK.cells","NK.cells","no","Train","Test","No","No"
"SRR6298339","SRR6298339","Illumina HiSeq 2000","Natural killer cells","healthy","SRP125125","Immune","NK","NK.cells","NK.cells","NK.cells","no","Train","Test","No","No"
"SRR6298373","SRR6298373","Illumina HiSeq 2000","Natural killer cells","healthy","SRP125125","Immune","NK","NK.cells","NK.cells","NK.cells","no","Train","Test","No","No"
"SRR6298272","SRR6298272","Illumina HiSeq 2000","Progenitor cells","healthy","SRP125125","Immune","stem cell","stem cell","noise","noise","no","Train","No","No","No"
"SRR6298282","SRR6298282","Illumina HiSeq 2000","Plasmacytoid dendritic cells","healthy","SRP125125","Immune","Myeloid","plasmacytoid.DC","noise","other","no","No","No","No","Test"
"SRR6298285","SRR6298285","Illumina HiSeq 2000","Low-density basophils","healthy","SRP125125","Immune","Myeloid","basophils","noise","noise","no","Train","No","No","Test"
"SRR6298301","SRR6298301","Illumina HiSeq 2000","Progenitor cells","healthy","SRP125125","Immune","stem cell","stem cell","noise","noise","no","Train","No","No","No"
"SRR6298311","SRR6298311","Illumina HiSeq 2000","Plasmacytoid dendritic cells","healthy","SRP125125","Immune","Myeloid","plasmacytoid.DC","noise","other","no","No","No","No","Test"
"SRR6298314","SRR6298314","Illumina HiSeq 2000","Low-density basophils","healthy","SRP125125","Immune","Myeloid","basophils","noise","noise","no","Train","No","No","Test"
"SRR6298330","SRR6298330","Illumina HiSeq 2000","Progenitor cells","healthy","SRP125125","Immune","stem cell","stem cell","noise","noise","no","Train","No","No","No"
"SRR6298340","SRR6298340","Illumina HiSeq 2000","Plasmacytoid dendritic cells","healthy","SRP125125","Immune","Myeloid","plasmacytoid.DC","noise","other","no","No","No","No","Test"
"SRR6298343","SRR6298343","Illumina HiSeq 2000","Low-density basophils","healthy","SRP125125","Immune","Myeloid","basophils","noise","noise","no","Train","No","No","Test"
"SRR6298347","SRR6298347","Illumina HiSeq 2000","PBMCs","healthy","SRP125125","Immune","total","total.PBMC","noise","noise","no","Train","No","No","No"
"SRR6298348","SRR6298348","Illumina HiSeq 2000","PBMCs","healthy","SRP125125","Immune","total","total.PBMC","noise","noise","no","Train","No","No","No"
"SRR6298349","SRR6298349","Illumina HiSeq 2000","PBMCs","healthy","SRP125125","Immune","total","total.PBMC","noise","noise","no","Train","No","No","No"
"SRR6298350","SRR6298350","Illumina HiSeq 2000","PBMCs","healthy","SRP125125","Immune","total","total.PBMC","noise","noise","no","Train","No","No","No"
"SRR6298351","SRR6298351","Illumina HiSeq 2000","PBMCs","healthy","SRP125125","Immune","total","total.PBMC","noise","noise","no","Train","No","No","No"
"SRR6298352","SRR6298352","Illumina HiSeq 2000","PBMCs","healthy","SRP125125","Immune","total","total.PBMC","noise","noise","no","Train","No","No","No"
"SRR6298364","SRR6298364","Illumina HiSeq 2000","Progenitor cells","healthy","SRP125125","Immune","stem cell","stem cell","noise","noise","no","Train","No","No","No"
"SRR6298374","SRR6298374","Illumina HiSeq 2000","Plasmacytoid dendritic cells","healthy","SRP125125","Immune","Myeloid","plasmacytoid.DC","noise","other","no","No","No","No","Test"
"SRR6298377","SRR6298377","Illumina HiSeq 2000","Low-density basophils","healthy","SRP125125","Immune","Myeloid","basophils","noise","noise","no","Train","No","No","Test"
"SRR6298262","SRR6298262","Illumina HiSeq 2000","MAIT cells","healthy","SRP125125","Immune","T","MAIT.T.cell","other","other","no","Train","No","No","Test"
"SRR6298263","SRR6298263","Illumina HiSeq 2000","Vd2 gd T cells","healthy","SRP125125","Immune","GD","gdTCR","other","other","no","Train","No","No","Test"
"SRR6298264","SRR6298264","Illumina HiSeq 2000","Non-Vd2 gd T cells","healthy","SRP125125","Immune","GD","gdTCR","other","other","no","Train","No","No","No"
"SRR6298290","SRR6298290","Illumina HiSeq 2000","MAIT cells","healthy","SRP125125","Immune","T","MAIT.T.cell","other","other","no","Train","No","No","Test"
"SRR6298291","SRR6298291","Illumina HiSeq 2000","Vd2 gd T cells","healthy","SRP125125","Immune","GD","gdTCR","other","other","no","Train","No","No","Test"
"SRR6298292","SRR6298292","Illumina HiSeq 2000","Non-Vd2 gd T cells","healthy","SRP125125","Immune","GD","gdTCR","other","other","no","Train","No","No","No"
"SRR6298319","SRR6298319","Illumina HiSeq 2000","MAIT cells","healthy","SRP125125","Immune","T","MAIT.T.cell","other","other","no","Train","No","No","Test"
"SRR6298320","SRR6298320","Illumina HiSeq 2000","Vd2 gd T cells","healthy","SRP125125","Immune","GD","gdTCR","other","other","no","Train","No","No","Test"
"SRR6298321","SRR6298321","Illumina HiSeq 2000","Non-Vd2 gd T cells","healthy","SRP125125","Immune","GD","gdTCR","other","other","no","Train","No","No","No"
"SRR6298354","SRR6298354","Illumina HiSeq 2000","MAIT cells","healthy","SRP125125","Immune","T","MAIT.T.cell","other","other","no","Train","No","No","Test"
"SRR6298355","SRR6298355","Illumina HiSeq 2000","Vd2 gd T cells","healthy","SRP125125","Immune","GD","gdTCR","other","other","no","Train","No","No","Test"
"SRR6298356","SRR6298356","Illumina HiSeq 2000","Non-Vd2 gd T cells","healthy","SRP125125","Immune","GD","gdTCR","other","other","no","Train","No","No","No"
"SRR6298378","SRR6298378","Illumina HiSeq 2000","PBMCs","no_treament","SRP125125","Immune","total","total.PBMC","noise","noise","no",NA,NA,NA,NA
"SRR6298379","SRR6298379","Illumina HiSeq 2000","PBMCs","no_treament","SRP125125","Immune","total","total.PBMC","noise","noise","no",NA,NA,NA,NA
"SRR6298380","SRR6298380","Illumina HiSeq 2000","PBMCs","no_treament","SRP125125","Immune","total","total.PBMC","noise","noise","no",NA,NA,NA,NA
"SRR6298381","SRR6298381","Illumina HiSeq 2000","PBMCs","no_treament","SRP125125","Immune","total","total.PBMC","noise","noise","no",NA,NA,NA,NA
"SRR6298382","SRR6298382","Illumina HiSeq 2000","PBMCs","no_treament","SRP125125","Immune","total","total.PBMC","noise","noise","no",NA,NA,NA,NA
"SRR6298383","SRR6298383","Illumina HiSeq 2000","PBMCs","no_treament","SRP125125","Immune","total","total.PBMC","noise","noise","no",NA,NA,NA,NA
"SRR6298384","SRR6298384","Illumina HiSeq 2000","PBMCs","no_treament","SRP125125","Immune","total","total.PBMC","noise","noise","no",NA,NA,NA,NA
"SRR6497277","SRR6497277","NextSeq 500","Monocytes","no_treament","SRP131052","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no",NA,NA,NA,NA
"SRR6497278","SRR6497278","NextSeq 500","Monocytes","no_treament","SRP131052","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no",NA,NA,NA,NA
"SRR6497279","SRR6497279","NextSeq 500","Macrophages","no_treament","SRP131052","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR6497280","SRR6497280","NextSeq 500","Macrophages","no_treament","SRP131052","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR6497281","SRR6497281","NextSeq 500","Monocytes","no_treament","SRP131052","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no",NA,NA,NA,NA
"SRR6497282","SRR6497282","NextSeq 500","Monocytes","no_treament","SRP131052","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no",NA,NA,NA,NA
"SRR6497283","SRR6497283","NextSeq 500","Macrophages","no_treament","SRP131052","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR6497284","SRR6497284","NextSeq 500","Macrophages","no_treament","SRP131052","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR6497285","SRR6497285","NextSeq 500","Monocytes","no_treament","SRP131052","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no",NA,NA,NA,NA
"SRR6497286","SRR6497286","NextSeq 500","Monocytes","no_treament","SRP131052","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no",NA,NA,NA,NA
"SRR6497287","SRR6497287","NextSeq 500","Macrophages","no_treament","SRP131052","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR6497288","SRR6497288","NextSeq 500","Macrophages","no_treament","SRP131052","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR6497289","SRR6497289","NextSeq 500","Monocytes","no_treament","SRP131052","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no",NA,NA,NA,NA
"SRR6497290","SRR6497290","NextSeq 500","Monocytes","no_treament","SRP131052","Immune","MYELOID","monocytes","monocytic.lineage","monocytes","no",NA,NA,NA,NA
"SRR6497291","SRR6497291","NextSeq 500","Macrophages","no_treament","SRP131052","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR6497292","SRR6497292","NextSeq 500","Macrophages","no_treament","SRP131052","Immune","MYELOID","macrophages","monocytic.lineage","macrophages","no",NA,NA,NA,NA
"SRR6870908","SRR6870908","Illumina HiSeq 2000","Peripheral blood total B cells","Methylprednisolone2","SRP136108","Immune","B","B.cells","B.cells","other","yes","Train","No","No","No"
"SRR6870911","SRR6870911","Illumina HiSeq 2000","Peripheral blood total B cells","Vehicle2","SRP136108","Immune","B","B.cells","B.cells","other","no","Train","No","No","No"
"SRR6870915","SRR6870915","Illumina HiSeq 2000","Peripheral blood total B cells","Methylprednisolone6","SRP136108","Immune","B","B.cells","B.cells","other","yes","Train","No","No","No"
"SRR6870916","SRR6870916","Illumina HiSeq 2000","Peripheral blood total B cells","Vehicle6","SRP136108","Immune","B","B.cells","B.cells","other","no","Train","No","No","No"
"SRR7963683","SRR7963683","Illumina HiSeq 3000","Peripheral blood total B cells","Methylprednisolone2","SRP136108","Immune","B","B.cells","B.cells","other","yes","Train","No","No","No"
"SRR7963684","SRR7963684","Illumina HiSeq 3000","Peripheral blood total B cells","Methylprednisolone2","SRP136108","Immune","B","B.cells","B.cells","other","yes","Train","No","No","No"
"SRR7963685","SRR7963685","Illumina HiSeq 3000","Peripheral blood total B cells","Methylprednisolone2","SRP136108","Immune","B","B.cells","B.cells","other","yes","Train","No","No","No"
"SRR7963686","SRR7963686","Illumina HiSeq 3000","Peripheral blood total B cells","Vehicle2","SRP136108","Immune","B","B.cells","B.cells","other","no","Train","No","No","No"
"SRR7963687","SRR7963687","Illumina HiSeq 3000","Peripheral blood total B cells","Vehicle2","SRP136108","Immune","B","B.cells","B.cells","other","no","Train","No","No","No"
"SRR7963688","SRR7963688","Illumina HiSeq 3000","Peripheral blood total B cells","Vehicle2","SRP136108","Immune","B","B.cells","B.cells","other","no","Train","No","No","No"
"SRR7963689","SRR7963689","Illumina HiSeq 3000","Peripheral blood total B cells","Methylprednisolone6","SRP136108","Immune","B","B.cells","B.cells","other","yes","Train","No","No","No"
"SRR7963690","SRR7963690","Illumina HiSeq 3000","Peripheral blood total B cells","Methylprednisolone6","SRP136108","Immune","B","B.cells","B.cells","other","yes","Train","No","No","No"
"SRR7963691","SRR7963691","Illumina HiSeq 3000","Peripheral blood total B cells","Methylprednisolone6","SRP136108","Immune","B","B.cells","B.cells","other","yes","Train","No","No","No"
"SRR7963692","SRR7963692","Illumina HiSeq 3000","Peripheral blood total B cells","Vehicle6","SRP136108","Immune","B","B.cells","B.cells","other","no","Train","No","No","No"
"SRR7963693","SRR7963693","Illumina HiSeq 3000","Peripheral blood total B cells","Vehicle6","SRP136108","Immune","B","B.cells","B.cells","other","no","Train","No","No","No"
"SRR7963694","SRR7963694","Illumina HiSeq 3000","Peripheral blood total B cells","Vehicle6","SRP136108","Immune","B","B.cells","B.cells","other","no","Train","No","No","No"
"SRR6870898","SRR6870898","Illumina HiSeq 2000","WCD4T","Vehicle2","SRP136108","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6870902","SRR6870902","Illumina HiSeq 2000","WCD4T","Vehicle6","SRP136108","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR7963674","SRR7963674","Illumina HiSeq 3000","WCD4T","Vehicle2","SRP136108","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR7963675","SRR7963675","Illumina HiSeq 3000","WCD4T","Vehicle2","SRP136108","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR7963676","SRR7963676","Illumina HiSeq 3000","WCD4T","Vehicle2","SRP136108","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR7963680","SRR7963680","Illumina HiSeq 3000","WCD4T","Vehicle6","SRP136108","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR7963681","SRR7963681","Illumina HiSeq 3000","WCD4T","Vehicle6","SRP136108","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR7963682","SRR7963682","Illumina HiSeq 3000","WCD4T","Vehicle6","SRP136108","Immune","CD4","CD4.T.cells","CD4.T.cells","other","no","Train","No","No","No"
"SRR6870923","SRR6870923","Illumina HiSeq 2000","endothelial","Methylprednisolone2","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","yes","Train","Train","Train","Train"
